"","nameTeam","namePlayer","number of games","stat","mean","standard deviation","median","trimmed","mad","min","max","range","skew","kurtosis","se","get this number or more"
"1403","Dallas Mavericks","Willie Cauley-Stein",13,"rebounds",5.7692,3.5859,5,5.3636,2.9652,2,14,12,0.8241,-0.3885,0.9946,2.1833
"1404","New Orleans Pelicans","Willy Hernangomez",2,"rebounds",3.5,0.7071,3.5,3.5,0.7413,3,4,1,0,-2.75,0.5,2.7929
"1405","Memphis Grizzlies","Xavier Tillman",8,"rebounds",3.875,2.2321,4.5,3.875,2.2239,1,6,5,-0.2687,-1.9335,0.7892,1.6429
"1406","Cleveland Cavaliers","Yogi Ferrell",2,"rebounds",3.5,2.1213,3.5,3.5,2.2239,2,5,3,0,-2.75,1.5,1.3787
"1407","Toronto Raptors","Yuta Watanabe",8,"rebounds",2.625,2.3867,2.5,2.625,2.2239,0,7,7,0.4439,-1.1678,0.8438,0.2383
"1408","Chicago Bulls","Zach LaVine",14,"rebounds",4.7857,2.3264,5.5,5,2.2239,0,7,7,-0.7808,-0.8208,0.6218,2.4593
"1409","Denver Nuggets","Zeke Nnaji",6,"rebounds",0.3333,0.5164,0,0.3333,0,0,1,1,0.5379,-1.9583,0.2108,-0.1831
"1410","New Orleans Pelicans","Zion Williamson",12,"rebounds",8,3.4641,7.5,8,3.7065,2,14,12,0.0722,-1.1736,1,4.5359
"1411","Orlando Magic","Aaron Gordon",13,"threes",1.5385,1.7134,1,1.2727,1.4826,0,6,6,1.2242,0.8212,0.4752,-0.1749
"1412","Indiana Pacers","Aaron Holiday",13,"threes",0.7692,0.9268,1,0.6364,1.4826,0,3,3,0.9948,0.0415,0.2571,-0.1576
"1413","Boston Celtics","Aaron Nesmith",5,"threes",0.6,0.5477,1,0.6,0,0,1,1,-0.2921,-2.2533,0.2449,0.0523
"1414","Phoenix Suns","Abdel Nader",1,"threes",0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"1415","Chicago Bulls","Adam Mokoka",6,"threes",0.1667,0.4082,0,0.1667,0,0,1,1,1.3608,-0.0833,0.1667,-0.2415
"1416","Oklahoma City Thunder","Al Horford",9,"threes",1.7778,1.3944,2,1.7778,1.4826,0,3,3,-0.3906,-1.8569,0.4648,0.3834
"1417","New York Knicks","Alec Burks",3,"threes",3.3333,1.1547,4,3.3333,0,2,4,2,-0.3849,-2.3333,0.6667,2.1786
"1418","Oklahoma City Thunder","Aleksej Pokusevski",11,"threes",0.5455,0.6876,0,0.4444,0,0,2,2,0.6935,-0.8935,0.2073,-0.1421
"1419","Los Angeles Lakers","Alex Caruso",10,"threes",1.5,1.0801,1.5,1.5,0.7413,0,3,3,0,-1.4847,0.3416,0.4199
"1420","Toronto Raptors","Alex Len",7,"threes",0.4286,1.1339,0,0.4286,0,0,3,3,1.6198,0.7959,0.4286,-0.7053
"1421","Los Angeles Lakers","Alfonzo McKinnie",9,"threes",0.3333,0.5,0,0.3333,0,0,1,1,0.5926,-1.8148,0.1667,-0.1667
"1422","LA Clippers","Amir Coffey",10,"threes",0.3,0.483,0,0.25,0,0,1,1,0.7453,-1.5729,0.1528,-0.183
"1423","Cleveland Cavaliers","Andre Drummond",12,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1424","Miami Heat","Andre Iguodala",11,"threes",1,1.1832,1,0.8889,1.4826,0,3,3,0.6586,-1.2375,0.3568,-0.1832
"1425","Golden State Warriors","Andrew Wiggins",13,"threes",2.0769,1.4412,2,2,1.4826,0,5,5,0.3403,-0.7167,0.3997,0.6357
"1426","Portland Trail Blazers","Anfernee Simons",11,"threes",1.0909,1.0445,1,1,1.4826,0,3,3,0.3205,-1.396,0.3149,0.0464
"1427","Los Angeles Lakers","Anthony Davis",13,"threes",1,1.5811,0,0.8182,0,0,4,4,1.0508,-0.7108,0.4385,-0.5811
"1428","Minnesota Timberwolves","Anthony Edwards",12,"threes",1.5,1.1677,1,1.4,1.4826,0,4,4,0.628,-0.5464,0.3371,0.3323
"1429","Washington Wizards","Anthony Gill",4,"threes",0.25,0.5,0,0.25,0,0,1,1,0.75,-1.6875,0.25,-0.25
"1430","Washington Wizards","Anzejs Pasecniks",1,"threes",0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"1431","Toronto Raptors","Aron Baynes",10,"threes",0.3,0.483,0,0.25,0,0,1,1,0.7453,-1.5729,0.1528,-0.183
"1432","New York Knicks","Austin Rivers",11,"threes",1.8182,1.5374,2,1.6667,1.4826,0,5,5,0.4243,-0.7279,0.4635,0.2808
"1433","Miami Heat","Avery Bradley",7,"threes",1.8571,1.215,2,1.8571,0,0,4,4,0.2243,-0.8024,0.4592,0.6421
"1434","Miami Heat","Bam Adebayo",10,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1435","Houston Rockets","Ben McLemore",6,"threes",2.6667,1.633,2.5,2.6667,2.2239,1,5,4,0.2126,-1.8646,0.6667,1.0337
"1436","Philadelphia 76ers","Ben Simmons",12,"threes",0.0833,0.2887,0,0,0,0,1,1,2.6462,5.4792,0.0833,-0.2054
"1437","Charlotte Hornets","Bismack Biyombo",14,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1438","Detroit Pistons","Blake Griffin",10,"threes",2.2,2.3476,1.5,1.75,2.2239,0,8,8,1.3152,0.9047,0.7424,-0.1476
"1439","Dallas Mavericks","Boban Marjanovic",10,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1440","Milwaukee Bucks","Bobby Portis",14,"threes",0.8571,0.7703,1,0.8333,1.4826,0,2,2,0.2105,-1.4139,0.2059,0.0868
"1441","Atlanta Hawks","Bogdan Bogdanovic",9,"threes",2.3333,2.0616,1,2.3333,1.4826,0,6,6,0.5918,-1.3145,0.6872,0.2717
"1442","Utah Jazz","Bojan Bogdanovic",14,"threes",2.5714,2.1738,3,2.5,2.9652,0,6,6,0.0145,-1.6967,0.581,0.3976
"1443","Denver Nuggets","Bol Bol",8,"threes",0.25,0.4629,0,0.25,0,0,1,1,0.9451,-1.2135,0.1637,-0.2129
"1444","Golden State Warriors","Brad Wanamaker",13,"threes",0.4615,0.6602,0,0.3636,0,0,2,2,0.93,-0.4489,0.1831,-0.1987
"1445","Washington Wizards","Bradley Beal",10,"threes",2.4,2.0656,2,2.125,1.4826,0,7,7,0.8088,-0.117,0.6532,0.3344
"1446","Memphis Grizzlies","Brandon Clarke",13,"threes",0.5385,0.8771,0,0.3636,0,0,3,3,1.603,1.8838,0.2433,-0.3386
"1447","Atlanta Hawks","Brandon Goodwin",11,"threes",0.8182,0.8739,1,0.6667,0,0,3,3,1.1214,0.8132,0.2635,-0.0557
"1448","New Orleans Pelicans","Brandon Ingram",13,"threes",1.9231,1.4412,2,1.9091,1.4826,0,4,4,-0.0319,-1.5068,0.3997,0.4819
"1449","Indiana Pacers","Brian Bowen II",1,"threes",0,NA,0,0,0,0,0,0,NA,NA,NA,NA
"1450","Houston Rockets","Brodric Thomas",3,"threes",0,0,0,0,0,0,0,0,NA,NA,0,0
"1451","Milwaukee Bucks","Brook Lopez",14,"threes",1.8571,1.4064,2,1.8333,1.4826,0,4,4,0.0786,-1.4556,0.3759,0.4507
