"","nameTeam","namePlayer","pts","ast","treb","PRA"
"442","Minnesota Timberwolves","Naz Reid",8,2,2,12
"443","Utah Jazz","Royce O'Neale",5,1,13,19
"444","Minnesota Timberwolves","Juancho Hernangomez",0,0,1,1
"445","Minnesota Timberwolves","Ed Davis",0,0,0,0
"446","Utah Jazz","Georges Niang",0,0,2,2
"447","Minnesota Timberwolves","Malik Beasley",18,0,6,24
"448","Utah Jazz","Juwan Morgan",0,0,0,0
"449","Utah Jazz","Rudy Gobert",18,2,16,36
"450","Minnesota Timberwolves","Karl-Anthony Towns",16,3,12,31
"451","Utah Jazz","Jordan Clarkson",23,0,3,26
"452","Minnesota Timberwolves","Ricky Rubio",9,6,4,19
"453","Minnesota Timberwolves","Jake Layman",0,1,0,1
"454","Utah Jazz","Joe Ingles",10,0,2,12
"455","Utah Jazz","Donovan Mitchell",21,5,2,28
"456","Minnesota Timberwolves","Jarrett Culver",14,0,6,20
"457","Minnesota Timberwolves","Josh Okogie",8,2,6,16
"458","Utah Jazz","Derrick Favors",5,2,6,13
"459","Portland Trail Blazers","Gary Trent Jr.",0,0,1,1
"460","Portland Trail Blazers","Damian Lillard",32,9,5,46
"461","Portland Trail Blazers","CJ McCollum",44,8,3,55
"462","Houston Rockets","Jae'Sean Tate",13,2,4,19
"463","Portland Trail Blazers","Carmelo Anthony",5,2,1,8
"464","Houston Rockets","Danuel House Jr.",11,1,3,15
"465","Portland Trail Blazers","Rodney Hood",3,1,0,4
"466","Portland Trail Blazers","Anfernee Simons",7,0,1,8
"467","Houston Rockets","Sterling Brown",10,0,1,11
"468","Houston Rockets","P.J. Tucker",7,1,11,19
"469","Houston Rockets","Bruno Caboclo",0,0,1,1
"470","Portland Trail Blazers","Enes Kanter",10,0,9,19
"471","Houston Rockets","David Nwaba",10,0,2,12
"472","Houston Rockets","Christian Wood",31,3,13,47
"473","Houston Rockets","Brodric Thomas",0,3,3,6
